ID,Kommune,Ordfører,Parti,Innbyggerantall 2013,Innbyggerantall 2017,Antall skoler 2013,Antall skoler 2017,Antall eldrehjem/omsorgssenter 2013,Antall eldrehjem/omsorgssenter 2017,Antall barnehager 2013,Antall barnehager 2017,Antall idrettshaller og svømmehaller 2013,Antall idrettshaller og svømmehaller i 2017,Antall polutsalg 2013,Antall polutsalg 2017,Antall dagligvarebutikker i 2013,Antall dagligvarebutikker i 2017,Antall industribedrifter 2013,Antall industribedrifter 2017,Antall statlige arbeidsplasser 2013,Antall statlige arbeidsplasser 2017,Antall nedlagte bruk siste..(SSB),Har det skjedd en endring i de statlige overføringene til din kommune siste fire år? Hvordan i så fall?,,Opplever du at din kommune er utsatt for en sentralisering? Hvordan i så fall?,Har regjeringen gjennomført tiltak som har gitt positiv effekt for din kommune? Hva i så fall?,Har regjeringen gjennomført tiltak som har gitt negativ effekt for din kommune? Hvilke i så fall?,Hva er din kommunes største utfordring?,"Klarer dere å levere de tjenestene innbyggerne skal ha (skole, eldreomsrorg, barnevern etc)?",Hva mener du skal til for å opprettholde levekraftige distrikter?,Hva er det beste og verste med bygda/distriktet?,Hva er det beste og verste med byen?,Hvorfor bor du på bygda/distriktet?, Hvordan ser kommunen din ut om fem år? Er du mest optimistisk eller mest pessimistisk?,Fins det egne verdier på bygda/distriktet? Er de under press?,Hvordan er situasjonen for Heimevernet i din kommune? ,Hvordan er brannberedskapen i din kommune? Endring?,Hvordan er ambulanseberedskapen i din kommune?,Hvordan er den offentlige kommunikasjonen og infrastrukturen? Endring?,Fortell om din kommunes største suksess siste fire år?,Fortell om din kommunes største fiasko siste fire år?
osen,Osen,Johan Einar Høvik,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roan,Roan,Einar Eian,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afjord,Åfjord,Vibeke Stjern ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjugn,Bjugn,Ogne Undertun ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rissa,Rissa,Ove Vollan ,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
froya,Frøya,Berit Flåmo,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitra,Hitra,Ole Haugen ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snillfjord,Snillfjord,Johan Lernes ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemne,Hemne,Odd Jarle Svanem ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orkdal,Orkdal,Oddbjørn Bang ,Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meldal,Meldal,Are Hilstad,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melhus,Melhus,Gunnar Krogstad ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selbu,Selbu,Ole Morten Balstad ,Ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
